name,GW,total_points,minutes,goals_scored,assists,bonus,bps,clean_sheets,creativity,influence,threat,ict_index,form,value,was_home,yellow_cards,red_cards,upcoming_total_points,position_FWD,position_GK,position_MID,team_x_Aston Villa,team_x_Bournemouth,team_x_Brentford,team_x_Brighton,team_x_Burnley,team_x_Chelsea,team_x_Crystal Palace,team_x_Everton,team_x_Fulham,team_x_Leeds,team_x_Leicester,team_x_Liverpool,team_x_Man City,team_x_Man Utd,team_x_Newcastle,team_x_Norwich,team_x_Nott'm Forest,team_x_Sheffield Utd,team_x_Southampton,team_x_Spurs,team_x_Watford,team_x_West Brom,team_x_West Ham,team_x_Wolves
Aaron Connolly,33,1,23,0,0,0,5,0,0.0,2.2,8.0,1.0,0.025,52,0,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,34,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.025,52,1,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,35,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.025,52,0,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,36,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.025,52,1,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,37,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52,1,0,0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Cresswell,1,1,90,0,0,0,11,0,11.2,10.4,0.0,2.2,0.1,50,1,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,2,1,90,0,0,0,16,0,52.9,21.2,0.0,7.4,0.05,50,0,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,3,1,90,0,0,0,11,0,1.6,11.2,11.0,2.4,0.0666666666666666,50,0,0,0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,4,6,90,0,0,0,23,1,47.1,14.2,1.0,6.2,0.2,50,1,0,0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,5,9,90,0,0,3,30,1,34.3,11.2,0.0,4.6,0.425,50,0,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
